Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
1936,"147,8","163,7","219,1",23,57,"4,1","32,6","129,8","115,8","102,4",96,"202,5"
1937,"205,5","113,5","172,2","184,9","114,1","50,4",4,"75,6","34,2","160,8","207,4",171
1938,"160,6","119,9","118,3","215,7","82,1","37,1","38,8",69,"133,4",179,"109,3","170,9"
1939,198,"156,2","114,8","67,3","66,6","31,3","38,7","6,3",29,"22,5","249,9","153,2"
1940,"290,6","264,1","65,8","42,3","29,9","12,8","10,8","17,5","47,8","146,1","66,8","138,2"
1941,"93,9","141,3","119,9","25,4","71,3",38,"57,1","35,7","192,9","82,1","168,2","189,8"
1942,"186,4","208,1","148,2","133,4","11,7","77,6","94,4","5,4","47,9","23,2","36,8","188,2"
1943,"227,4","123,3",136,"40,1","5,4","30,4",7,38,"82,6","224,4","99,3","102,4"
1944,"140,3","276,5","174,9","57,4","11,8","26,7","26,5","3,8",55,71,"172,8","96,4"
1945,237,"202,1","95,8","65,4","35,7","195,2","46,3","9,9","36,4",---,"103,2","204,7"
1946,"206,2","91,1","182,7","28,2","23,7","58,1","71,1",5,"16,5","149,2","120,6","130,8"
1947,361,222,"129,2","42,3","82,5","45,8","101,3","71,6","117,1","56,2","138,1","268,9"
1948,"152,1","143,2","265,4","47,1","91,3","5,3","83,5","70,2","23,5","120,2","80,6","93,6"
1949,"212,4","226,8",181,"78,6",34,53,"22,7","19,1","34,2","55,9","105,2","269,7"
1950,"211,7","261,7","158,4",159,"5,8","26,2","19,7","1,7","45,6","179,8","153,6","126,6"
1951,"320,5",135,"138,5","54,1","29,9","18,2","38,9",49,"9,9","126,6","84,9","158,4"
1952,"282,2","265,3","210,8","13,8","28,3","118,1","2,9","14,4","74,7","120,9","83,4",106
1953,"177,5","152,9","171,3",164,"65,2","17,6","46,6","62,4","53,4","95,7",105,"85,7"
1954,"196,4",170,"145,1","49,4","102,3","38,7","14,8",3,"41,9","135,5",28,"139,5"
1955,"178,4","146,5","138,9","29,7",60,"18,1",36,"103,9","10,5","92,4","93,7","190,1"
1956,"115,9","295,6","182,4","123,1",128,"91,1",81,"47,9","121,9","138,1","16,1","121,3"
1957,"229,4","212,2","196,1","112,4","42,9","41,2","63,7","74,2","237,2","200,2",212,"87,9"
1958,242,"105,4","148,2",112,"165,2","74,3","25,6","25,4",117,"169,9","88,2","297,5"
1959,"244,9","153,7",224,"53,9","43,7","0,9","13,8","46,6","36,1","73,2","142,7",287
1960,"187,6",337,"52,5","143,3","126,7","57,6","7,2","30,7","27,7","145,8","85,9","301,5"
1961,"191,4","254,4","123,8","109,4","79,5","39,3","6,3","17,7","11,2","119,4","200,1","209,4"
1962,"154,9",244,"199,6","51,7","24,2","21,1","50,7","52,6","33,8",209,"90,7","251,5"
1963,"224,4","156,7","108,8","26,5","15,6","28,4","10,7","7,2","16,9","108,7","133,9","49,2"
1964,"66,2","267,6","90,5","61,7","75,9","42,6","54,9","27,9","103,8","94,9","91,1","262,2"
1965,"383,7","113,8","194,1","119,8","83,5","37,5","81,7","7,8","125,3","216,8","138,9","198,2"
1966,"183,4","284,2","261,2","192,1","36,7","5,8","19,2","64,7","100,6","138,5","83,3","261,4"
1967,"202,4",261,"233,8","48,5","22,6","87,6","39,6","5,2","107,9","222,5","136,7","117,9"
1968,"233,2","148,3","245,5","44,5","71,9","42,5","19,3",62,"25,4","154,9","65,4","243,1"
1969,"107,9","148,7","94,6","77,6","42,9","62,3","6,7","36,1","37,3","193,5","253,7","98,8"
1970,"284,1","362,8","107,8","55,2","96,9",55,"21,6",92,"101,9","118,7","60,3","131,8"
1971,"188,4","355,5","177,3",79,"51,2","97,1","42,6",19,"64,6","127,9","114,1","168,9"
1972,"245,8","206,3","68,6","69,5","43,3","5,1","60,5","90,6","97,3","187,3","100,9","138,4"
1973,"206,4","246,9","91,3","42,4","55,8","33,2","88,2","26,2","56,4","121,4","184,3","195,4"
1974,"249,3","82,7","218,7","71,5","7,5","106,7","0,5","7,1","30,9","140,2",111,"204,1"
1975,"120,7","227,4",113,"13,1","48,5","14,9","64,1","2,8",44,"106,5","198,9","154,2"
1976,"292,6","306,3","102,5","170,5","176,3","58,8","131,5","140,4","185,6","80,3","180,3","131,5"
